file_key,emotion,source,full_path,npz_filename
Q4_1vjy9oMFa8c_0,calm,emopia,data/raw/labelled/emopia/Q4_1vjy9oMFa8c_0.mid,emopia_Q4_1vjy9oMFa8c_0.npz
Q4_FyK_c-TIcCA_1,calm,emopia,data/raw/labelled/emopia/Q4_FyK_c-TIcCA_1.mid,emopia_Q4_FyK_c-TIcCA_1.npz
Q1_UJcnNfeCN1c_3,happy,emopia,data/raw/labelled/emopia/Q1_UJcnNfeCN1c_3.mid,emopia_Q1_UJcnNfeCN1c_3.npz
Q1_HY9vPoHbgaI_0,happy,emopia,data/raw/labelled/emopia/Q1_HY9vPoHbgaI_0.mid,emopia_Q1_HY9vPoHbgaI_0.npz
Q1_yFw_kO7DF-Y_2,happy,emopia,data/raw/labelled/emopia/Q1_yFw_kO7DF-Y_2.mid,emopia_Q1_yFw_kO7DF-Y_2.npz
Q2_x5ibvz38jOs_1,angry,emopia,data/raw/labelled/emopia/Q2_x5ibvz38jOs_1.mid,emopia_Q2_x5ibvz38jOs_1.npz
Q4_JP3QKZlyQz4_2,calm,emopia,data/raw/labelled/emopia/Q4_JP3QKZlyQz4_2.mid,emopia_Q4_JP3QKZlyQz4_2.npz
Q3_pbVGv_g4n50_0,sad,emopia,data/raw/labelled/emopia/Q3_pbVGv_g4n50_0.mid,emopia_Q3_pbVGv_g4n50_0.npz
labelled/phrases/Other_PC_The Sims_Since We Met_0.mid,happy,vgmidi,data/raw/labelled/vgmidi/Other_PC_The Sims_Since We Met.mid,vgmidi_Other_PC_The_Sims_Since_We_Met.npz
Q4_XC_SiJszQx0_2,calm,emopia,data/raw/labelled/emopia/Q4_XC_SiJszQx0_2.mid,emopia_Q4_XC_SiJszQx0_2.npz
labelled/phrases/Battle of Olympus_NES_Battle of Olympus_Athene Sonata_0.mid,happy,vgmidi,data/raw/labelled/vgmidi/Battle of Olympus_NES_Battle of Olympus_Athene Sonata.mid,vgmidi_Battle_of_Olympus_NES_Battle_of_Olympus_Athene_Sonata.npz
Q2_L3_TadjSQQ0_0,angry,emopia,data/raw/labelled/emopia/Q2_L3_TadjSQQ0_0.mid,emopia_Q2_L3_TadjSQQ0_0.npz
Q3_ilCcZpD39HU_4,sad,emopia,data/raw/labelled/emopia/Q3_ilCcZpD39HU_4.mid,emopia_Q3_ilCcZpD39HU_4.npz
Q1_zHwJG8Rrx6c_1,happy,emopia,data/raw/labelled/emopia/Q1_zHwJG8Rrx6c_1.mid,emopia_Q1_zHwJG8Rrx6c_1.npz
Q4_Xlv4PPGrRRs_1,calm,emopia,data/raw/labelled/emopia/Q4_Xlv4PPGrRRs_1.mid,emopia_Q4_Xlv4PPGrRRs_1.npz
labelled/phrases/Battle of Olympus_NES_Battle of Olympus_Olympus No Tatakai_0.mid,sad,vgmidi,data/raw/labelled/vgmidi/Battle of Olympus_NES_Battle of Olympus_Olympus No Tatakai.mid,vgmidi_Battle_of_Olympus_NES_Battle_of_Olympus_Olympus_No_Tatakai.npz
Q2__FVzelKlBFs_2,angry,emopia,data/raw/labelled/emopia/Q2__FVzelKlBFs_2.mid,emopia_Q2__FVzelKlBFs_2.npz
Q3_TonQX8XbvX8_0,sad,emopia,data/raw/labelled/emopia/Q3_TonQX8XbvX8_0.mid,emopia_Q3_TonQX8XbvX8_0.npz
Q1_ANZf1QXsNrY_0,happy,emopia,data/raw/labelled/emopia/Q1_ANZf1QXsNrY_0.mid,emopia_Q1_ANZf1QXsNrY_0.npz
Q4_Q49PWE0RJLY_0,calm,emopia,data/raw/labelled/emopia/Q4_Q49PWE0RJLY_0.mid,emopia_Q4_Q49PWE0RJLY_0.npz
Q4_1A9Hh2GrDTs_0,calm,emopia,data/raw/labelled/emopia/Q4_1A9Hh2GrDTs_0.mid,emopia_Q4_1A9Hh2GrDTs_0.npz
Q4_7gifuoofgpk_0,calm,emopia,data/raw/labelled/emopia/Q4_7gifuoofgpk_0.mid,emopia_Q4_7gifuoofgpk_0.npz
Q4_iHPKusssXzk_0,calm,emopia,data/raw/labelled/emopia/Q4_iHPKusssXzk_0.mid,emopia_Q4_iHPKusssXzk_0.npz
Q3_G4rL_OtfFAU_1,sad,emopia,data/raw/labelled/emopia/Q3_G4rL_OtfFAU_1.mid,emopia_Q3_G4rL_OtfFAU_1.npz
Q3_3ZnxqCZ7qGg_0,sad,emopia,data/raw/labelled/emopia/Q3_3ZnxqCZ7qGg_0.mid,emopia_Q3_3ZnxqCZ7qGg_0.npz
Q2_48EYLEAgaBc_1,angry,emopia,data/raw/labelled/emopia/Q2_48EYLEAgaBc_1.mid,emopia_Q2_48EYLEAgaBc_1.npz
Q1_iFgSjUqI7iM_0,happy,emopia,data/raw/labelled/emopia/Q1_iFgSjUqI7iM_0.mid,emopia_Q1_iFgSjUqI7iM_0.npz
Q2_UJcnNfeCN1c_1,angry,emopia,data/raw/labelled/emopia/Q2_UJcnNfeCN1c_1.mid,emopia_Q2_UJcnNfeCN1c_1.npz
Q4_UbKAl4roB8k_0,calm,emopia,data/raw/labelled/emopia/Q4_UbKAl4roB8k_0.mid,emopia_Q4_UbKAl4roB8k_0.npz
labelled/phrases/Final Fantasy_PS1_Final Fantasy VII_Those Chosen By the Planet_0.mid,angry,vgmidi,data/raw/labelled/vgmidi/Final Fantasy_PS1_Final Fantasy VII_Those Chosen By the Planet.mid,vgmidi_Final_Fantasy_PS1_Final_Fantasy_VII_Those_Chosen_By_the_Planet.npz
labelled/phrases/Other_PS2_Shadow of the Colossus_The Farthest Land_0.mid,sad,vgmidi,data/raw/labelled/vgmidi/Other_PS2_Shadow of the Colossus_The Farthest Land.mid,vgmidi_Other_PS2_Shadow_of_the_Colossus_The_Farthest_Land.npz
Q2_qlbazHayULg_1,angry,emopia,data/raw/labelled/emopia/Q2_qlbazHayULg_1.mid,emopia_Q2_qlbazHayULg_1.npz
Q3_f0NbGeyJYms_0,sad,emopia,data/raw/labelled/emopia/Q3_f0NbGeyJYms_0.mid,emopia_Q3_f0NbGeyJYms_0.npz
labelled/phrases/Other_NES_Ghosts 'n Goblins_Main Theme_0.mid,happy,vgmidi,data/raw/labelled/vgmidi/Other_NES_Ghosts 'n Goblins_Main Theme.mid,vgmidi_Other_NES_Ghosts__n_Goblins_Main_Theme.npz
Q1_9v2WSpn4FCw_1,happy,emopia,data/raw/labelled/emopia/Q1_9v2WSpn4FCw_1.mid,emopia_Q1_9v2WSpn4FCw_1.npz
Q3_0lEL_XHyhuU_1,sad,emopia,data/raw/labelled/emopia/Q3_0lEL_XHyhuU_1.mid,emopia_Q3_0lEL_XHyhuU_1.npz
labelled/phrases/Other_PC_The Sims_The Simple Life_0.mid,calm,vgmidi,data/raw/labelled/vgmidi/Other_PC_The Sims_The Simple Life.mid,vgmidi_Other_PC_The_Sims_The_Simple_Life.npz
Q4_DvIH5yUrboc_0,calm,emopia,data/raw/labelled/emopia/Q4_DvIH5yUrboc_0.mid,emopia_Q4_DvIH5yUrboc_0.npz
Q4_vpTguZtJAFA_1,calm,emopia,data/raw/labelled/emopia/Q4_vpTguZtJAFA_1.mid,emopia_Q4_vpTguZtJAFA_1.npz
Q4_iHPKusssXzk_1,calm,emopia,data/raw/labelled/emopia/Q4_iHPKusssXzk_1.mid,emopia_Q4_iHPKusssXzk_1.npz
Q4_DX1IK3z1w10_0,calm,emopia,data/raw/labelled/emopia/Q4_DX1IK3z1w10_0.mid,emopia_Q4_DX1IK3z1w10_0.npz
Q3_ltxNPJda7zE_2,sad,emopia,data/raw/labelled/emopia/Q3_ltxNPJda7zE_2.mid,emopia_Q3_ltxNPJda7zE_2.npz
Q2_0H4rq0L9OSw_1,angry,emopia,data/raw/labelled/emopia/Q2_0H4rq0L9OSw_1.mid,emopia_Q2_0H4rq0L9OSw_1.npz
Q2_sEQf5lcnj_o_0,angry,emopia,data/raw/labelled/emopia/Q2_sEQf5lcnj_o_0.mid,emopia_Q2_sEQf5lcnj_o_0.npz
Q3_77z6Ep3aOmg_1,sad,emopia,data/raw/labelled/emopia/Q3_77z6Ep3aOmg_1.mid,emopia_Q3_77z6Ep3aOmg_1.npz
Q2_TcFVq0leii4_2,angry,emopia,data/raw/labelled/emopia/Q2_TcFVq0leii4_2.mid,emopia_Q2_TcFVq0leii4_2.npz
Q1_JT1XJnVmABo_2,happy,emopia,data/raw/labelled/emopia/Q1_JT1XJnVmABo_2.mid,emopia_Q1_JT1XJnVmABo_2.npz
labelled/phrases/Other_PC_Aion Tower of Eternity_Song of Moonlight_0.mid,calm,vgmidi,data/raw/labelled/vgmidi/Other_PC_Aion Tower of Eternity_Song of Moonlight.mid,vgmidi_Other_PC_Aion_Tower_of_Eternity_Song_of_Moonlight.npz
labelled/phrases/Super Mario_N64_Super Mario 64_Princess Secret Slide_0.mid,happy,vgmidi,data/raw/labelled/vgmidi/Super Mario_N64_Super Mario 64_Princess Secret Slide.mid,vgmidi_Super_Mario_N64_Super_Mario_64_Princess_Secret_Slide.npz
Q2_mlHheZbblT0_0,angry,emopia,data/raw/labelled/emopia/Q2_mlHheZbblT0_0.mid,emopia_Q2_mlHheZbblT0_0.npz
Q4_5DqIntcmdRI_1,calm,emopia,data/raw/labelled/emopia/Q4_5DqIntcmdRI_1.mid,emopia_Q4_5DqIntcmdRI_1.npz
labelled/phrases/The Legend of Zelda_N64_The Legend of Zelda Ocarina of Time_Serenade of Water_0.mid,calm,vgmidi,data/raw/labelled/vgmidi/The Legend of Zelda_N64_The Legend of Zelda Ocarina of Time_Serenade of Water.mid,vgmidi_The_Legend_of_Zelda_N64_The_Legend_of_Zelda_Ocarina_of_Time_Serenade_of_Water.npz
labelled/phrases/Mana_SNES_Secret of Mana_Kind Memories_0.mid,calm,vgmidi,data/raw/labelled/vgmidi/Mana_SNES_Secret of Mana_Kind Memories.mid,vgmidi_Mana_SNES_Secret_of_Mana_Kind_Memories.npz
Q1_mX-xs3OVhTs_1,happy,emopia,data/raw/labelled/emopia/Q1_mX-xs3OVhTs_1.mid,emopia_Q1_mX-xs3OVhTs_1.npz
Q4_Ie5koh4qvJc_27,calm,emopia,data/raw/labelled/emopia/Q4_Ie5koh4qvJc_27.mid,emopia_Q4_Ie5koh4qvJc_27.npz
Q2_ezoAduuCkUs_0,angry,emopia,data/raw/labelled/emopia/Q2_ezoAduuCkUs_0.mid,emopia_Q2_ezoAduuCkUs_0.npz
labelled/phrases/Other_N64_GoldenEye 007_Caverns_0.mid,sad,vgmidi,data/raw/labelled/vgmidi/Other_N64_GoldenEye 007_Caverns.mid,vgmidi_Other_N64_GoldenEye_007_Caverns.npz
Q1_FfwKrQyQ7WU_0,happy,emopia,data/raw/labelled/emopia/Q1_FfwKrQyQ7WU_0.mid,emopia_Q1_FfwKrQyQ7WU_0.npz
Q1_JT1XJnVmABo_5,happy,emopia,data/raw/labelled/emopia/Q1_JT1XJnVmABo_5.mid,emopia_Q1_JT1XJnVmABo_5.npz
Q4_QBJ6YYYpIyk_0,calm,emopia,data/raw/labelled/emopia/Q4_QBJ6YYYpIyk_0.mid,emopia_Q4_QBJ6YYYpIyk_0.npz
Q4_v3Nl5rUxLqE_1,calm,emopia,data/raw/labelled/emopia/Q4_v3Nl5rUxLqE_1.mid,emopia_Q4_v3Nl5rUxLqE_1.npz
Q4_fShAWhXIits_0,calm,emopia,data/raw/labelled/emopia/Q4_fShAWhXIits_0.mid,emopia_Q4_fShAWhXIits_0.npz
Q3_ii1Jw1-7Ka4_2,sad,emopia,data/raw/labelled/emopia/Q3_ii1Jw1-7Ka4_2.mid,emopia_Q3_ii1Jw1-7Ka4_2.npz
Q4_JT1XJnVmABo_2,calm,emopia,data/raw/labelled/emopia/Q4_JT1XJnVmABo_2.mid,emopia_Q4_JT1XJnVmABo_2.npz
Q2_9v2WSpn4FCw_2,angry,emopia,data/raw/labelled/emopia/Q2_9v2WSpn4FCw_2.mid,emopia_Q2_9v2WSpn4FCw_2.npz
Q1_NP0lwB-_-og_1,happy,emopia,data/raw/labelled/emopia/Q1_NP0lwB-_-og_1.mid,emopia_Q1_NP0lwB-_-og_1.npz
Q3_NTI9ode6bRk_1,sad,emopia,data/raw/labelled/emopia/Q3_NTI9ode6bRk_1.mid,emopia_Q3_NTI9ode6bRk_1.npz
Q3_FOcdHIhI0_s_0,sad,emopia,data/raw/labelled/emopia/Q3_FOcdHIhI0_s_0.mid,emopia_Q3_FOcdHIhI0_s_0.npz
Q2_jIKX3ShvLxo_2,angry,emopia,data/raw/labelled/emopia/Q2_jIKX3ShvLxo_2.mid,emopia_Q2_jIKX3ShvLxo_2.npz
Q1_1vjy9oMFa8c_5,happy,emopia,data/raw/labelled/emopia/Q1_1vjy9oMFa8c_5.mid,emopia_Q1_1vjy9oMFa8c_5.npz
Q3_kopwU6zpS4k_0,sad,emopia,data/raw/labelled/emopia/Q3_kopwU6zpS4k_0.mid,emopia_Q3_kopwU6zpS4k_0.npz
Q3_9Xg69XrVaYU_2,sad,emopia,data/raw/labelled/emopia/Q3_9Xg69XrVaYU_2.mid,emopia_Q3_9Xg69XrVaYU_2.npz
Q2_5NW0zDu6IYM_0,angry,emopia,data/raw/labelled/emopia/Q2_5NW0zDu6IYM_0.mid,emopia_Q2_5NW0zDu6IYM_0.npz
Q1_0vLPYiPN7qY_1,happy,emopia,data/raw/labelled/emopia/Q1_0vLPYiPN7qY_1.mid,emopia_Q1_0vLPYiPN7qY_1.npz
Q3_Ie5koh4qvJc_8,sad,emopia,data/raw/labelled/emopia/Q3_Ie5koh4qvJc_8.mid,emopia_Q3_Ie5koh4qvJc_8.npz
Q4_ltxNPJda7zE_4,calm,emopia,data/raw/labelled/emopia/Q4_ltxNPJda7zE_4.mid,emopia_Q4_ltxNPJda7zE_4.npz
Q1_3ahg_eQZhxs_0,happy,emopia,data/raw/labelled/emopia/Q1_3ahg_eQZhxs_0.mid,emopia_Q1_3ahg_eQZhxs_0.npz
Q1_NGE9ynTJABg_1,happy,emopia,data/raw/labelled/emopia/Q1_NGE9ynTJABg_1.mid,emopia_Q1_NGE9ynTJABg_1.npz
Q4_2Z9SjI131jA_5,calm,emopia,data/raw/labelled/emopia/Q4_2Z9SjI131jA_5.mid,emopia_Q4_2Z9SjI131jA_5.npz
Q2_D-gDPh9ZpFk_2,angry,emopia,data/raw/labelled/emopia/Q2_D-gDPh9ZpFk_2.mid,emopia_Q2_D-gDPh9ZpFk_2.npz
Q3_D3onzY4MNxE_1,sad,emopia,data/raw/labelled/emopia/Q3_D3onzY4MNxE_1.mid,emopia_Q3_D3onzY4MNxE_1.npz
labelled/phrases/Final Fantasy_PS1_Final Fantasy VII_Who Are You_0.mid,sad,vgmidi,data/raw/labelled/vgmidi/Final Fantasy_PS1_Final Fantasy VII_Who Are You.mid,vgmidi_Final_Fantasy_PS1_Final_Fantasy_VII_Who_Are_You.npz
labelled/phrases/Super Mario_SNES_Super Mario World_Overworld 2_0.mid,happy,vgmidi,data/raw/labelled/vgmidi/Super Mario_SNES_Super Mario World_Overworld 2.mid,vgmidi_Super_Mario_SNES_Super_Mario_World_Overworld_2.npz
Q2_3ZnxqCZ7qGg_1,angry,emopia,data/raw/labelled/emopia/Q2_3ZnxqCZ7qGg_1.mid,emopia_Q2_3ZnxqCZ7qGg_1.npz
labelled/phrases/Other_NES_Tetris_Enter Your Name_0.mid,happy,vgmidi,data/raw/labelled/vgmidi/Other_NES_Tetris_Enter Your Name.mid,vgmidi_Other_NES_Tetris_Enter_Your_Name.npz
Q4_GbUV3TXUzeQ_0,calm,emopia,data/raw/labelled/emopia/Q4_GbUV3TXUzeQ_0.mid,emopia_Q4_GbUV3TXUzeQ_0.npz
Q2_dtS02mrDMsM_0,angry,emopia,data/raw/labelled/emopia/Q2_dtS02mrDMsM_0.mid,emopia_Q2_dtS02mrDMsM_0.npz
Q4_ADJ_PDauy-g_2,calm,emopia,data/raw/labelled/emopia/Q4_ADJ_PDauy-g_2.mid,emopia_Q4_ADJ_PDauy-g_2.npz
Q2_Dg935IbDggo_1,angry,emopia,data/raw/labelled/emopia/Q2_Dg935IbDggo_1.mid,emopia_Q2_Dg935IbDggo_1.npz
Q2_sEQf5lcnj_o_2,angry,emopia,data/raw/labelled/emopia/Q2_sEQf5lcnj_o_2.mid,emopia_Q2_sEQf5lcnj_o_2.npz
Q4_3N2G21U7guk_1,calm,emopia,data/raw/labelled/emopia/Q4_3N2G21U7guk_1.mid,emopia_Q4_3N2G21U7guk_1.npz
labelled/phrases/Indiana Jones_PC_Indiana Jones and the Last Crusade_Venice_0.mid,happy,vgmidi,data/raw/labelled/vgmidi/Indiana Jones_PC_Indiana Jones and the Last Crusade_Venice.mid,vgmidi_Indiana_Jones_PC_Indiana_Jones_and_the_Last_Crusade_Venice.npz
Q4_uUtnyA6tLnI_0,calm,emopia,data/raw/labelled/emopia/Q4_uUtnyA6tLnI_0.mid,emopia_Q4_uUtnyA6tLnI_0.npz
Q1_wnB2cjd6zbE_0,happy,emopia,data/raw/labelled/emopia/Q1_wnB2cjd6zbE_0.mid,emopia_Q1_wnB2cjd6zbE_0.npz
Q4_TOXg4-ZGb-g_1,calm,emopia,data/raw/labelled/emopia/Q4_TOXg4-ZGb-g_1.mid,emopia_Q4_TOXg4-ZGb-g_1.npz
Q2_rEz0D3VohFA_1,angry,emopia,data/raw/labelled/emopia/Q2_rEz0D3VohFA_1.mid,emopia_Q2_rEz0D3VohFA_1.npz
labelled/phrases/Other_PC_Aion Tower of Eternity_The Still Sad World_0.mid,calm,vgmidi,data/raw/labelled/vgmidi/Other_PC_Aion Tower of Eternity_The Still Sad World.mid,vgmidi_Other_PC_Aion_Tower_of_Eternity_The_Still_Sad_World.npz
Q4_gwmVjvR-sVs_2,calm,emopia,data/raw/labelled/emopia/Q4_gwmVjvR-sVs_2.mid,emopia_Q4_gwmVjvR-sVs_2.npz
Q2_eGQUZ9FlUJ4_1,angry,emopia,data/raw/labelled/emopia/Q2_eGQUZ9FlUJ4_1.mid,emopia_Q2_eGQUZ9FlUJ4_1.npz
Q2_Dg935IbDggo_0,angry,emopia,data/raw/labelled/emopia/Q2_Dg935IbDggo_0.mid,emopia_Q2_Dg935IbDggo_0.npz
Q3_uj3Gif77SYM_4,sad,emopia,data/raw/labelled/emopia/Q3_uj3Gif77SYM_4.mid,emopia_Q3_uj3Gif77SYM_4.npz
Q2_Ie5koh4qvJc_11,angry,emopia,data/raw/labelled/emopia/Q2_Ie5koh4qvJc_11.mid,emopia_Q2_Ie5koh4qvJc_11.npz
Q1_JYVXM0qNQAg_0,happy,emopia,data/raw/labelled/emopia/Q1_JYVXM0qNQAg_0.mid,emopia_Q1_JYVXM0qNQAg_0.npz
Q3_wqc8iqbDsGM_4,sad,emopia,data/raw/labelled/emopia/Q3_wqc8iqbDsGM_4.mid,emopia_Q3_wqc8iqbDsGM_4.npz
Q3_vVTP0DOL_2Q_2,sad,emopia,data/raw/labelled/emopia/Q3_vVTP0DOL_2Q_2.mid,emopia_Q3_vVTP0DOL_2Q_2.npz
Q1_Y5JcZQ0xg4Y_2,happy,emopia,data/raw/labelled/emopia/Q1_Y5JcZQ0xg4Y_2.mid,emopia_Q1_Y5JcZQ0xg4Y_2.npz
Q4_g15aRCHUJEI_0,calm,emopia,data/raw/labelled/emopia/Q4_g15aRCHUJEI_0.mid,emopia_Q4_g15aRCHUJEI_0.npz
Q3_1Q3MoBFh6eU_0,sad,emopia,data/raw/labelled/emopia/Q3_1Q3MoBFh6eU_0.mid,emopia_Q3_1Q3MoBFh6eU_0.npz
Q2_78C_TpQDvVE_0,angry,emopia,data/raw/labelled/emopia/Q2_78C_TpQDvVE_0.mid,emopia_Q2_78C_TpQDvVE_0.npz
labelled/phrases/The Legend of Zelda_N64_The Legend of Zelda Majora's Mask_Chase Theme_0.mid,angry,vgmidi,data/raw/labelled/vgmidi/The Legend of Zelda_N64_The Legend of Zelda Majora's Mask_Chase Theme.mid,vgmidi_The_Legend_of_Zelda_N64_The_Legend_of_Zelda_Majora_s_Mask_Chase_Theme.npz
Q1_e838BE_MH6s_2,happy,emopia,data/raw/labelled/emopia/Q1_e838BE_MH6s_2.mid,emopia_Q1_e838BE_MH6s_2.npz
Q1_6Uf9XBUD3wE_1,happy,emopia,data/raw/labelled/emopia/Q1_6Uf9XBUD3wE_1.mid,emopia_Q1_6Uf9XBUD3wE_1.npz
Q2_k4lT-sXg3iI_1,angry,emopia,data/raw/labelled/emopia/Q2_k4lT-sXg3iI_1.mid,emopia_Q2_k4lT-sXg3iI_1.npz
Q4_f2b4kpdw7_c_1,calm,emopia,data/raw/labelled/emopia/Q4_f2b4kpdw7_c_1.mid,emopia_Q4_f2b4kpdw7_c_1.npz
Q1_sUJ4a74Skk8_0,happy,emopia,data/raw/labelled/emopia/Q1_sUJ4a74Skk8_0.mid,emopia_Q1_sUJ4a74Skk8_0.npz
Q4_oTi57hZfArE_1,calm,emopia,data/raw/labelled/emopia/Q4_oTi57hZfArE_1.mid,emopia_Q4_oTi57hZfArE_1.npz
Q2_D5kyjnlDNZs_2,angry,emopia,data/raw/labelled/emopia/Q2_D5kyjnlDNZs_2.mid,emopia_Q2_D5kyjnlDNZs_2.npz
Q2_ANZf1QXsNrY_6,angry,emopia,data/raw/labelled/emopia/Q2_ANZf1QXsNrY_6.mid,emopia_Q2_ANZf1QXsNrY_6.npz
Q4_j8Ir-ssM-AA_1,calm,emopia,data/raw/labelled/emopia/Q4_j8Ir-ssM-AA_1.mid,emopia_Q4_j8Ir-ssM-AA_1.npz
labelled/phrases/Dragon Quest_NES_Dragon Quest_Cave Theme_0.mid,happy,vgmidi,data/raw/labelled/vgmidi/Dragon Quest_NES_Dragon Quest_Cave Theme.mid,vgmidi_Dragon_Quest_NES_Dragon_Quest_Cave_Theme.npz
Q1_UYh88SRZC24_1,happy,emopia,data/raw/labelled/emopia/Q1_UYh88SRZC24_1.mid,emopia_Q1_UYh88SRZC24_1.npz
Q1_yFw_kO7DF-Y_0,happy,emopia,data/raw/labelled/emopia/Q1_yFw_kO7DF-Y_0.mid,emopia_Q1_yFw_kO7DF-Y_0.npz
Q4_sA9ac1rod84_1,calm,emopia,data/raw/labelled/emopia/Q4_sA9ac1rod84_1.mid,emopia_Q4_sA9ac1rod84_1.npz
labelled/phrases/Battle of Olympus_NES_Battle of Olympus_A Brave Warrior_0.mid,happy,vgmidi,data/raw/labelled/vgmidi/Battle of Olympus_NES_Battle of Olympus_A Brave Warrior.mid,vgmidi_Battle_of_Olympus_NES_Battle_of_Olympus_A_Brave_Warrior.npz
Q1_dfNdpy8TUzA_0,happy,emopia,data/raw/labelled/emopia/Q1_dfNdpy8TUzA_0.mid,emopia_Q1_dfNdpy8TUzA_0.npz
Q1_PdwxeMPXOCk_1,happy,emopia,data/raw/labelled/emopia/Q1_PdwxeMPXOCk_1.mid,emopia_Q1_PdwxeMPXOCk_1.npz
Q1_jziI_cuN_H8_0,happy,emopia,data/raw/labelled/emopia/Q1_jziI_cuN_H8_0.mid,emopia_Q1_jziI_cuN_H8_0.npz
Q2_f2BXXa7lPuE_0,angry,emopia,data/raw/labelled/emopia/Q2_f2BXXa7lPuE_0.mid,emopia_Q2_f2BXXa7lPuE_0.npz
Q2_Iq6g_4AwUWs_1,angry,emopia,data/raw/labelled/emopia/Q2_Iq6g_4AwUWs_1.mid,emopia_Q2_Iq6g_4AwUWs_1.npz
Q4_FyK_c-TIcCA_2,calm,emopia,data/raw/labelled/emopia/Q4_FyK_c-TIcCA_2.mid,emopia_Q4_FyK_c-TIcCA_2.npz
Q4_j8Ir-ssM-AA_0,calm,emopia,data/raw/labelled/emopia/Q4_j8Ir-ssM-AA_0.mid,emopia_Q4_j8Ir-ssM-AA_0.npz
labelled/phrases/Final Fantasy_PS1_Final Fantasy VII_A High Wind Takes to the Skies_0.mid,happy,vgmidi,data/raw/labelled/vgmidi/Final Fantasy_PS1_Final Fantasy VII_A High Wind Takes to the Skies.mid,vgmidi_Final_Fantasy_PS1_Final_Fantasy_VII_A_High_Wind_Takes_to_the_Skies.npz
Q3_p2qihp_PnLY_0,sad,emopia,data/raw/labelled/emopia/Q3_p2qihp_PnLY_0.mid,emopia_Q3_p2qihp_PnLY_0.npz
Q3_4Er-eFHSHA4_2,sad,emopia,data/raw/labelled/emopia/Q3_4Er-eFHSHA4_2.mid,emopia_Q3_4Er-eFHSHA4_2.npz
